"Factor","Successes","Failures"
0,56,44
2,2,3
3,2,1
4,1,1
5,4,5
6,3,1
65,0,1
8,0,1
10,4,7
15,0,1
10000,0,1
20,0,5
15000,1,0
25,0,1
900,0,1
30,0,1
100000,1,0
40,0,1
300,1,1
30000,1,0
200,1,3
50,2,5
2003000,1,0
650,1,0
20000,1,0
4000,0,1
2500,1,0
45000,1,0
2003,1,0
85,0,1
2007,1,0
7000,1,0
350,1,0
140000,1,0
100,2,2
999,1,0
1000,2,1
500,0,1
120,1,0
